# FORMAT: machine-manifest
# DOC_ID: crt/coupling-manifest
# DOC_CURRENCY: CURRENT
# AUTHORITY_CLASS: A0_VERIFIED_LIVE
# VERIFICATION_STATUS: VERIFIED (RE-DERIVED 2026-08-09 from the CC payload primary record after the CCRT_specialists restructure — 5 modeler agents and 15 skills moved OUT of payload/ to the manual-install CCRT_specialists/ tree, the 3 executor routes moved IN, and 2 skills that had shipped with no row at all were registered. Every count below is computed from the rows, and both arms of lib/verify_coupling.sh (manifest->payload AND payload->manifest completeness) pass on this file. Prior: re-derived 2026-07-17; +software-developer 2026-07-28; +supervisory-workflow 2026-08-03)
# TASK_STATUS: FROZEN_V1 (unfrozen + re-frozen 2026-08-09 for the CCRT_specialists restructure: 15 skill rows + 5 SECTION-2 agent rows dropped, 2 skill rows + 3 SECTION-2 agent rows added, 3 skills re-tiered by TIER_RULE where their referrer set changed; prior unfreezes 2026-08-03, 2026-07-28 x2; first freeze 2026-07-17)
# AS_OF: 2026-08-09
# TOPIC_ID: cc-agent-skill-coupling
# PRIMARY_READER: install.sh selection logic + verify_coupling.sh gate + the manifest->skillNames generator
# SOURCE_OF_TRUTH: claude_research_toolkit_v2.7/payload/agents/*.md (16 agents) x claude_research_toolkit_v2.7/payload/skills/*/ (33 skills) — both COUNTED from the tree 2026-08-09; SECTION-1 skill rows match payload/skills 1:1 and SECTION-2 rows match payload/agents 1:1, enforced by the gate's completeness arm
# METHOD: word-boundary skill-token scan of each agent body -> per-referrer semantic class (OPERATIONAL/DEFER-TO create a dependency; BOUNDARY/EXAMPLE do NOT) -> tier
# TIER_RULE: 0 dep referrers=STANDALONE; 1=DEDICATED; >=2=SHARED; deferred-family=DEFERRED; kind=agent=AGENT-ONLY
# COUNTS: {'AGENT-ONLY': 5, 'DEDICATED': 13, 'STANDALONE': 15, 'DEFERRED': 2, 'SHARED': 3}  (COMPUTED from the SECTION-1 rows 2026-08-09: 38 rows = 33 skill + 5 agent)
# NOT-IN-THIS-MANIFEST: the specialist agents/skills under CCRT_specialists/ are MANUAL-INSTALL and deliberately unlisted — install.sh neither copies nor resolves them, so they carry no coupling row. A row here means "ships in payload/".
# PROVENANCE_NOTE: supersedes coupling_manifest_v0_DRAFT.csv (8d171601); 6 draft-drift + 2 semantic tier corrections recorded in the note column

name	kind	tier	dep_referrers	nondep_referrers	dep_semantics	science_present	install_rule	note
formal-argument-checker	agent	AGENT-ONLY	-	-	-	yes	agent: selecting it pulls its DEDICATED+SHARED skill deps	pure role
science-writing-stylist	agent	AGENT-ONLY	-	-	-	yes	agent: selecting it pulls its DEDICATED+SHARED skill deps	pure role
version-control-docs	agent	AGENT-ONLY	-	-	-	no	agent: selecting it pulls its DEDICATED+SHARED skill deps	pure role
bash-hook-contract	skill	DEDICATED	agent-tooling-engineer	-	agent-tooling-engineer:DEFER-TO	yes	install IFF agent-tooling-engineer selected; selecting agent-tooling-engineer REQUIRES this skill	referenced by agent-tooling-engineer (backtick)
brms-hierarchical-fitting	skill	STANDALONE	-	-	-	yes	installable alone; imposes NO agent requirement	RE-TIERED 2026-08-09 (DEDICATED->STANDALONE): its one dep referrer micromet-reconstructor moved to CCRT_specialists/ (manual install); the SKILL stays in payload with 0 agent referrers -> STANDALONE by TIER_RULE
design-rationale	skill	DEDICATED	design-rationale-analyst	-	design-rationale-analyst:OPERATIONAL	yes	install IFF design-rationale-analyst selected; selecting design-rationale-analyst REQUIRES this skill	referenced by design-rationale-analyst (backtick)
eliciting-llm-behavior	skill	DEDICATED	prompt-engineer	-	prompt-engineer:OPERATIONAL	yes	install IFF prompt-engineer selected; selecting prompt-engineer REQUIRES this skill	referenced by prompt-engineer (backtick)
sci-file-index	skill	DEDICATED	sci-file-indexer	-	sci-file-indexer:OPERATIONAL	yes	install IFF sci-file-indexer selected; selecting sci-file-indexer REQUIRES this skill	referenced by sci-file-indexer (backtick)
teaching-narrative	skill	DEDICATED	design-rationale-analyst	-	design-rationale-analyst:DEFER-TO	yes	install IFF design-rationale-analyst selected; selecting design-rationale-analyst REQUIRES this skill	referenced by design-rationale-analyst (backtick)
toolkit-extension-authoring	skill	DEDICATED	agent-tooling-engineer	-	agent-tooling-engineer:OPERATIONAL	yes	install IFF agent-tooling-engineer selected; selecting agent-tooling-engineer REQUIRES this skill	referenced by agent-tooling-engineer (backtick)
baton	skill	DEFERRED	-	-	-	no	deferred/held-back; never auto-installed	deferred feature
folio	skill	DEFERRED	-	-	-	no	deferred/held-back; never auto-installed	deferred feature
