target (install path under ~/.claude/)	source (harvested from)	scrub	notes
CLAUDE.md (managed block)	payload/CLAUDE.core.md (+ CLAUDE.memories.md)	authored	generalized from the workspace CLAUDE.md lessons; project-context stripped; memories folded in with --memories
rules/doc-style.machine.md	<workspace>/.claude/rules/	light	methodology path -> ~/.claude/methodology/; genericized clima-doc-style pointers
rules/doc-currency.machine.md	authored (this project, 2026-07-11)	authored	in-band STATUS-header convention + RULE.currency write-time anti-poison (mandate §4 made installable); dogfoods findings status-headers-not-dogfooded + currency-clause-missing (register T-13/T-14)
rules/parallel-runs.machine.md	<workspace>/.claude/rules/	light	16-core hardware constants -> (cores-2); Linux metric note; dropped project-cost pointer
rules/r-standards.md	<workspace>/.claude/rules/	light	dropped GOAL_PREDICATES + diel-STEP-2 pointers; kept illustrative examples
rules/refactor-invariants.machine.md	<workspace>/.claude/rules/	heavy	genericized GF-bins/p_sunlit-p_fleck exemplar; stripped [[wikilinks]]
rules/reproduce-before-fixing.machine.md	<workspace>/.claude/rules/	heavy	stripped diel_baseline_check.sh path + toggles; genericized CASE; stripped [[links]]
rules/root-before-bandaid.machine.md	<workspace>/.claude/rules/	heavy	genericized ghost-skip; stripped project-doc REFs + [[links]]; kept shade-leaf-T illustration
rules/verification-principles.md	<workspace>/.claude/rules/	light	stripped clima-verification-cases pointer; genericized julia XCHECK example
rules/verify-local-state.machine.md	<workspace>/.claude/rules/	light	"R-code-dev rules level" -> "global rules level"; Stan/CSV examples kept (generic)
skills/baton/SKILL.md	~/.claude/skills/handoff/	rename	name: handoff -> baton; trigger /baton; concept word "handoff" kept
skills/machine-md/SKILL.md	<workspace>/.claude/skills/machine-doc-authoring/	rename	name -> machine-md; trigger /machine-md; genericized inline examples
skills/aggregation-jensen-bias/SKILL.md	~/.claude/skills/	light	dropped "the CliMA" + clima-julia-debugging pointer
skills/gap-fill-imputation/SKILL.md	~/.claude/skills/	light	genericized project bug identifiers
skills/julia-performance-correctness/SKILL.md	~/.claude/skills/	light	stripped clima-julia-debugging routing; genericized artifact example
skills/mgcv-temporal-gam/SKILL.md	~/.claude/skills/	light	"floods/open-canopy" -> "rare extreme values"
skills/preflight-parallel/SKILL.md	~/.claude/skills/	light	"16" -> machine core count; added Linux metric
skills/tz-safe-timestamps/SKILL.md	~/.claude/skills/	light	genericized Para/Manaus site offsets
skills/brms-hierarchical-fitting/SKILL.md	~/.claude/skills/	none	clean
skills/temporal-block-cv/SKILL.md	~/.claude/skills/	none	clean
skills/temporal-qc-outlier-detection/SKILL.md	~/.claude/skills/	none	clean
skills/research-stats-advisor/SKILL.md	~/.claude/skills/	light	re-cast from research-stats-advisor agent (agent→skill flip, DESIGN_BRIEF_agent_skill_division); STANDARDS/EXPERTISE atoms ported; domain framing genericized
skills/bash-hook-contract/SKILL.md	authored (ported from Claude Science skill, T-18)	none	CC-native hook I/O + portability contract; ported verbatim (0 scrub/0 Science tokens); STATUS-stamped
skills/toolkit-extension-authoring/SKILL.md	authored (ported from Claude Science skill, T-18)	light	reworded absolute-home-path literal (scrub); dropped Claude-Science-analog section + kernel.py clause; STATUS-stamped
agents/code-review-debugger.md	<workspace>/.claude/agents/	medium	dropped tropical-forest/CliMA framing + HW line + clima-julia-debugging bullet
agents/machine-doc-reviewer.md	<workspace>/.claude/agents/	light	skill pointer -> ~/.claude/skills/machine-md/SKILL.md
agents/version-control-docs.md	<workspace>/.claude/agents/	heavy	stripped authorization + memory-file machinery + dead paths + deprecated tool names | +reciprocal DATA/CODE seam pointer to research-data-manager (T-18)
agents/agent-tooling-engineer.md	authored (ported from Claude Science profile, T-18)	light	profile→agent translation; dropped host.*/kernel.py/delegation/connectors; routes depth to bash-hook-contract + toolkit-extension-authoring
agents/research-data-manager.md	authored (ported from Claude Science profile, T-18)	light	profile→agent; re-anchored 4-lifecycle DATA discipline free-standing (no platform lineage); seam vs version-control-docs = DATA/CODE
agents/sci-file-indexer.md	authored (2026-07-12, sci-lit-indexer build; extended 2026-07-13 T-32 rename)	authored	autonomous librarian for a scientific-literature folder; thin orchestrator that delegates the HOW to skill sci-file-index; IN=metadata catalog/OCR/CrossRef/dedupe + on-request canonical rename (dry-run/ledger/undo), OUT=paper-content reading
commands/xbeep.md	~/.claude/commands/	none	already $HOME-based; global /xbeep
commands/clean-tasks.md	authored (this project, 2026-07-11)	authored	CORE command: excise done/deferred items into development/ tree with context bundle (installs under --core)
commands/capability-audit.md	authored (2026-07-12, T-21)	authored	/capability-audit slash wrapper: run audit -> present recommendation table -> gated backup (mirrors clean-tasks.md)
commands/doc-pipeline.md	authored (2026-07-13)	authored	CORE command /doc-pipeline: author machine.md from a spec (stage 1 + form gate) then hand to /folio for translate+render+QA; render mode calls /folio directly. Layers authoring on the folio core; installs under --core
hooks/post-edit-review.sh	<workspace>/.claude/hooks/	rewrite	env vars -> stdin JSON (fix); messages preserved
hooks/pre-complete-verification.sh	<workspace>/.claude/hooks/	rewrite	env var -> stdin JSON (fix); messages preserved
hooks/ambient_time.py	authored (2026-07-11, ambient-time bundle)	authored	UserPromptSubmit+SessionStart: injects one down-weighted <ambient-time> line (local time · UTC±HH:MM · epoch · Δ-since-last-prompt). Pure stdlib, no network. §7 re-verified vs live hooks docs 2026-07-11
